,ID,Name,Age,Photo,Nationality,Flag,Club,Value,Wage,Joined,Contract Valid Until,Release Clause
25,231747,K. Mbappé,19,https://cdn.sofifa.org/players/4/19/231747.png,France,https://cdn.sofifa.org/flags/18.png,Paris Saint-Germain,€81M,€100K,1-Jul-18,2022,€166.1M
26,209331,M. Salah,26,https://cdn.sofifa.org/players/4/19/209331.png,Egypt,https://cdn.sofifa.org/flags/111.png,Liverpool,€69.5M,€255K,1-Jul-17,2023,€137.3M
27,200145,Casemiro,26,https://cdn.sofifa.org/players/4/19/200145.png,Brazil,https://cdn.sofifa.org/flags/54.png,Real Madrid,€59.5M,€285K,11-Jul-13,2021,€126.4M
28,198710,J. Rodríguez,26,https://cdn.sofifa.org/players/4/19/198710.png,Colombia,https://cdn.sofifa.org/flags/56.png,FC Bayern München,€69.5M,€315K,,30-Jun-19,
29,198219,L. Insigne,27,https://cdn.sofifa.org/players/4/19/198219.png,Italy,https://cdn.sofifa.org/flags/27.png,Napoli,€62M,€165K,1-Jul-10,2022,€105.4M
30,197781,Isco,26,https://cdn.sofifa.org/players/4/19/197781.png,Spain,https://cdn.sofifa.org/flags/45.png,Real Madrid,€73.5M,€315K,3-Jul-13,2022,€156.2M
31,190460,C. Eriksen,26,https://cdn.sofifa.org/players/4/19/190460.png,Denmark,https://cdn.sofifa.org/flags/13.png,Tottenham Hotspur,€73.5M,€205K,30-Aug-13,2020,€141.5M
32,189242,Coutinho,26,https://cdn.sofifa.org/players/4/19/189242.png,Brazil,https://cdn.sofifa.org/flags/54.png,FC Barcelona,€69.5M,€340K,6-Jan-18,2023,€147.7M
33,188567,P. Aubameyang,29,https://cdn.sofifa.org/players/4/19/188567.png,Gabon,https://cdn.sofifa.org/flags/115.png,Arsenal,€59M,€265K,31-Jan-18,2021,€112.1M
34,178603,M. Hummels,29,https://cdn.sofifa.org/players/4/19/178603.png,Germany,https://cdn.sofifa.org/flags/21.png,FC Bayern München,€46M,€160K,1-Jul-16,2021,€75.9M
35,176676,Marcelo,30,https://cdn.sofifa.org/players/4/19/176676.png,Brazil,https://cdn.sofifa.org/flags/54.png,Real Madrid,€43M,€285K,1-Jan-07,2022,€88.2M
36,173731,G. Bale,28,https://cdn.sofifa.org/players/4/19/173731.png,Wales,https://cdn.sofifa.org/flags/50.png,Real Madrid,€60M,€355K,2-Sep-13,2022,€123M
37,167948,H. Lloris,31,https://cdn.sofifa.org/players/4/19/167948.png,France,https://cdn.sofifa.org/flags/18.png,Tottenham Hotspur,€36M,€150K,1-Aug-12,2022,€66.6M
38,167664,G. Higuaín,30,https://cdn.sofifa.org/players/4/19/167664.png,Argentina,https://cdn.sofifa.org/flags/52.png,Milan,€57M,€245K,,30-Jun-19,
39,164240,Thiago Silva,33,https://cdn.sofifa.org/players/4/19/164240.png,Brazil,https://cdn.sofifa.org/flags/54.png,Paris Saint-Germain,€24M,€165K,1-Jul-12,2020,€44.4M
40,162835,S. Handanovič,33,https://cdn.sofifa.org/players/4/19/162835.png,Slovenia,https://cdn.sofifa.org/flags/44.png,Inter,€30M,€110K,1-Jul-12,2021,€51M
41,1179,G. Buffon,40,https://cdn.sofifa.org/players/4/19/1179.png,Italy,https://cdn.sofifa.org/flags/27.png,Paris Saint-Germain,€4M,€77K,6-Jul-18,2019,€7.4M
42,205600,S. Umtiti,24,https://cdn.sofifa.org/players/4/19/205600.png,France,https://cdn.sofifa.org/flags/18.png,FC Barcelona,€57M,€205K,12-Jul-16,2023,€121.1M
43,201399,M. Icardi,25,https://cdn.sofifa.org/players/4/19/201399.png,Argentina,https://cdn.sofifa.org/flags/52.png,Inter,€64.5M,€130K,9-Jul-13,2021,€114.5M
44,201024,K. Koulibaly,27,https://cdn.sofifa.org/players/4/19/201024.png,Senegal,https://cdn.sofifa.org/flags/136.png,Napoli,€51M,€115K,1-Jul-14,2021,€90.5M
45,195864,P. Pogba,25,https://cdn.sofifa.org/players/4/19/195864.png,France,https://cdn.sofifa.org/flags/18.png,Manchester United,€64M,€210K,9-Aug-16,2021,€123.2M
46,193041,K. Navas,31,https://cdn.sofifa.org/players/4/19/193041.png,Costa Rica,https://cdn.sofifa.org/flags/72.png,Real Madrid,€30.5M,€195K,3-Aug-14,2020,€62.5M
47,192505,R. Lukaku,25,https://cdn.sofifa.org/players/4/19/192505.png,Belgium,https://cdn.sofifa.org/flags/7.png,Manchester United,€62.5M,€230K,10-Jul-17,2022,€120.3M
48,192387,C. Immobile,28,https://cdn.sofifa.org/players/4/19/192387.png,Italy,https://cdn.sofifa.org/flags/27.png,Lazio,€52M,€115K,27-Jul-16,2023,€88.4M
49,189332,Jordi Alba,29,https://cdn.sofifa.org/players/4/19/189332.png,Spain,https://cdn.sofifa.org/flags/45.png,FC Barcelona,€38M,€250K,1-Jul-12,2020,€77.9M
50,175943,D. Mertens,31,https://cdn.sofifa.org/players/4/19/175943.png,Belgium,https://cdn.sofifa.org/flags/7.png,Napoli,€45M,€135K,1-Jul-13,2020,€76.5M
51,172871,J. Vertonghen,31,https://cdn.sofifa.org/players/4/19/172871.png,Belgium,https://cdn.sofifa.org/flags/7.png,Tottenham Hotspur,€34M,€155K,1-Jul-12,2019,€62.9M
52,171877,M. Hamšík,30,https://cdn.sofifa.org/players/4/19/171877.png,Slovakia,https://cdn.sofifa.org/flags/43.png,Napoli,€46.5M,€125K,1-Jul-07,2020,€79.1M
53,168651,I. Rakitić,30,https://cdn.sofifa.org/players/4/19/168651.png,Croatia,https://cdn.sofifa.org/flags/10.png,FC Barcelona,€46.5M,€260K,1-Jul-14,2021,€95.3M
54,152729,Piqué,31,https://cdn.sofifa.org/players/4/19/152729.png,Spain,https://cdn.sofifa.org/flags/45.png,FC Barcelona,€34M,€240K,1-Jul-08,2022,€69.7M
55,222492,L. Sané,22,https://cdn.sofifa.org/players/4/19/222492.png,Germany,https://cdn.sofifa.org/flags/21.png,Manchester City,€61M,€195K,2-Aug-16,2021,€125.1M
56,218667,Bernardo Silva,23,https://cdn.sofifa.org/players/4/19/218667.png,Portugal,https://cdn.sofifa.org/flags/38.png,Manchester City,€59.5M,€180K,1-Jul-17,2022,€114.5M
57,210257,Ederson,24,https://cdn.sofifa.org/players/4/19/210257.png,Brazil,https://cdn.sofifa.org/flags/54.png,Manchester City,€41.5M,€125K,1-Jul-17,2025,€79.9M
58,208722,S. Mané,26,https://cdn.sofifa.org/players/4/19/208722.png,Senegal,https://cdn.sofifa.org/flags/136.png,Liverpool,€52M,€195K,1-Jul-16,2023,€102.7M
59,203376,V. van Dijk,26,https://cdn.sofifa.org/players/4/19/203376.png,Netherlands,https://cdn.sofifa.org/flags/34.png,Liverpool,€44.5M,€165K,1-Jan-18,2023,€87.9M
60,202652,R. Sterling,23,https://cdn.sofifa.org/players/4/19/202652.png,England,https://cdn.sofifa.org/flags/14.png,Manchester City,€56.5M,€195K,14-Jul-15,2023,€108.8M
61,201942,Roberto Firmino,26,https://cdn.sofifa.org/players/4/19/201942.png,Brazil,https://cdn.sofifa.org/flags/54.png,Liverpool,€53M,€195K,6-Jul-15,2023,€104.7M
62,201535,R. Varane,25,https://cdn.sofifa.org/players/4/19/201535.png,France,https://cdn.sofifa.org/flags/18.png,Real Madrid,€50M,€210K,1-Jul-11,2022,€106.3M
63,199556,M. Verratti,25,https://cdn.sofifa.org/players/4/19/199556.png,Italy,https://cdn.sofifa.org/flags/27.png,Paris Saint-Germain,€55M,€135K,18-Jul-12,2021,€105.9M
64,191043,Alex Sandro,27,https://cdn.sofifa.org/players/4/19/191043.png,Brazil,https://cdn.sofifa.org/flags/54.png,Juventus,€36.5M,€160K,21-Aug-15,2020,€60.2M
65,190483,Douglas Costa,27,https://cdn.sofifa.org/players/4/19/190483.png,Brazil,https://cdn.sofifa.org/flags/54.png,Juventus,€46.5M,€175K,1-Jul-18,2022,€76.7M
66,189596,T. Müller,28,https://cdn.sofifa.org/players/4/19/189596.png,Germany,https://cdn.sofifa.org/flags/21.png,FC Bayern München,€45M,€135K,10-Aug-08,2021,€74.3M
67,189509,Thiago,27,https://cdn.sofifa.org/players/4/19/189509.png,Spain,https://cdn.sofifa.org/flags/45.png,FC Bayern München,€45.5M,€130K,14-Jul-13,2021,€75.1M
68,188350,M. Reus,29,https://cdn.sofifa.org/players/4/19/188350.png,Germany,https://cdn.sofifa.org/flags/21.png,Borussia Dortmund,€43.5M,€100K,1-Jul-12,2023,€74M
69,184432,Azpilicueta,28,https://cdn.sofifa.org/players/4/19/184432.png,Spain,https://cdn.sofifa.org/flags/45.png,Chelsea,€35M,€175K,24-Aug-12,2022,€64.8M
70,184344,L. Bonucci,31,https://cdn.sofifa.org/players/4/19/184344.png,Italy,https://cdn.sofifa.org/flags/27.png,Juventus,€30M,€160K,2-Aug-18,2023,€49.5M
71,184087,T. Alderweireld,29,https://cdn.sofifa.org/players/4/19/184087.png,Belgium,https://cdn.sofifa.org/flags/7.png,Tottenham Hotspur,€39M,€150K,8-Jul-15,2020,€75.1M
72,180206,M. Pjanić,28,https://cdn.sofifa.org/players/4/19/180206.png,Bosnia Herzegovina,https://cdn.sofifa.org/flags/8.png,Juventus,€44M,€180K,1-Jul-16,2023,€72.6M
73,177509,M. Benatia,31,https://cdn.sofifa.org/players/4/19/177509.png,Morocco,https://cdn.sofifa.org/flags/129.png,Juventus,€30M,€160K,26-Aug-14,2020,€49.5M
74,176635,M. Özil,29,https://cdn.sofifa.org/players/4/19/176635.png,Germany,https://cdn.sofifa.org/flags/21.png,Arsenal,€43.5M,€190K,2-Sep-13,2021,€82.7M
75,135507,Fernandinho,33,https://cdn.sofifa.org/players/4/19/135507.png,Brazil,https://cdn.sofifa.org/flags/54.png,Manchester City,€18M,€185K,1-Jul-13,2020,€33.3M
76,41,Iniesta,34,https://cdn.sofifa.org/players/4/19/41.png,Spain,https://cdn.sofifa.org/flags/45.png,Vissel Kobe,€21.5M,€21K,16-Jul-18,2021,€26.9M
77,232363,M. Škriniar,23,https://cdn.sofifa.org/players/4/19/232363.png,Slovakia,https://cdn.sofifa.org/flags/43.png,Inter,€46.5M,€82K,7-Jul-17,2022,€88.4M
78,223848,S. Milinković-Savić,23,https://cdn.sofifa.org/players/4/19/223848.png,Serbia,https://cdn.sofifa.org/flags/51.png,Lazio,€50.5M,€73K,6-Aug-15,2023,€89.6M
79,220834,Marco Asensio,22,https://cdn.sofifa.org/players/4/19/220834.png,Spain,https://cdn.sofifa.org/flags/45.png,Real Madrid,€54M,€215K,1-Jul-15,2023,€121.5M
80,216594,N. Fekir,24,https://cdn.sofifa.org/players/4/19/216594.png,France,https://cdn.sofifa.org/flags/18.png,Olympique Lyonnais,€50M,€92K,1-Jul-13,2020,€98.8M
81,212831,Alisson,25,https://cdn.sofifa.org/players/4/19/212831.png,Brazil,https://cdn.sofifa.org/flags/54.png,Liverpool,€36.5M,€115K,19-Jul-18,2024,€72.1M
82,212622,J. Kimmich,23,https://cdn.sofifa.org/players/4/19/212622.png,Germany,https://cdn.sofifa.org/flags/21.png,FC Bayern München,€40.5M,€92K,1-Jul-15,2023,€69.9M
83,208421,Saúl,23,https://cdn.sofifa.org/players/4/19/208421.png,Spain,https://cdn.sofifa.org/flags/45.png,Atlético Madrid,€50.5M,€77K,1-Jul-13,2026,€107.3M
84,204485,R. Mahrez,27,https://cdn.sofifa.org/players/4/19/204485.png,Algeria,https://cdn.sofifa.org/flags/97.png,Manchester City,€40.5M,€205K,10-Jul-18,2023,€74.9M
85,197445,D. Alaba,26,https://cdn.sofifa.org/players/4/19/197445.png,Austria,https://cdn.sofifa.org/flags/4.png,FC Bayern München,€38M,€110K,10-Feb-10,2021,€65.6M
86,193747,Koke,26,https://cdn.sofifa.org/players/4/19/193747.png,Spain,https://cdn.sofifa.org/flags/45.png,Atlético Madrid,€45M,€88K,1-Jan-11,2019,€95.6M
87,193301,A. Lacazette,27,https://cdn.sofifa.org/players/4/19/193301.png,France,https://cdn.sofifa.org/flags/18.png,Arsenal,€45M,€180K,5-Jul-17,2022,€88.9M
88,192774,K. Manolas,27,https://cdn.sofifa.org/players/4/19/192774.png,Greece,https://cdn.sofifa.org/flags/22.png,Roma,€37.5M,€96K,26-Aug-14,2022,€66.6M
89,192366,N. Otamendi,30,https://cdn.sofifa.org/players/4/19/192366.png,Argentina,https://cdn.sofifa.org/flags/52.png,Manchester City,€28.5M,€170K,20-Aug-15,2022,€52.7M
90,189513,Parejo,29,https://cdn.sofifa.org/players/4/19/189513.png,Spain,https://cdn.sofifa.org/flags/45.png,Valencia CF,€37M,€66K,1-Jul-11,2020,€77.7M
91,187961,Paulinho,29,https://cdn.sofifa.org/players/4/19/187961.png,Brazil,https://cdn.sofifa.org/flags/54.png,Guangzhou Evergrande Taobao FC,€37M,€235K,,30-Jun-19,
92,186153,W. Szczęsny,28,https://cdn.sofifa.org/players/4/19/186153.png,Poland,https://cdn.sofifa.org/flags/37.png,Juventus,€32M,€125K,19-Jul-17,2021,€55.2M
93,184941,A. Sánchez,29,https://cdn.sofifa.org/players/4/19/184941.png,Chile,https://cdn.sofifa.org/flags/55.png,Manchester United,€37.5M,€215K,22-Jan-18,2022,€69.4M
94,184267,Y. Brahimi,28,https://cdn.sofifa.org/players/4/19/184267.png,Algeria,https://cdn.sofifa.org/flags/97.png,FC Porto,€39M,€28K,22-Jul-14,2019,€78M
95,183907,J. Boateng,29,https://cdn.sofifa.org/players/4/19/183907.png,Germany,https://cdn.sofifa.org/flags/21.png,FC Bayern München,€30M,€115K,14-Jul-11,2021,€49.5M
96,181872,A. Vidal,31,https://cdn.sofifa.org/players/4/19/181872.png,Chile,https://cdn.sofifa.org/flags/55.png,FC Barcelona,€26M,€205K,6-Aug-18,2021,€53.3M
97,181458,I. Perišić,29,https://cdn.sofifa.org/players/4/19/181458.png,Croatia,https://cdn.sofifa.org/flags/10.png,Inter,€37.5M,€110K,1-Sep-15,2022,€63.8M
98,180930,E. Džeko,32,https://cdn.sofifa.org/players/4/19/180930.png,Bosnia Herzegovina,https://cdn.sofifa.org/flags/8.png,Roma,€30.5M,€115K,1-Jul-15,2020,€51.9M
99,179846,S. Khedira,31,https://cdn.sofifa.org/players/4/19/179846.png,Germany,https://cdn.sofifa.org/flags/21.png,Juventus,€33M,€160K,1-Jul-15,2021,€54.5M
100,179844,Diego Costa,29,https://cdn.sofifa.org/players/4/19/179844.png,Spain,https://cdn.sofifa.org/flags/45.png,Atlético Madrid,€38.5M,€100K,1-Jan-18,2021,€78.9M
101,178518,R. Nainggolan,30,https://cdn.sofifa.org/players/4/19/178518.png,Belgium,https://cdn.sofifa.org/flags/7.png,Inter,€35.5M,€105K,1-Jul-18,2022,€60.4M
102,171919,Naldo,35,https://cdn.sofifa.org/players/4/19/171919.png,Brazil,https://cdn.sofifa.org/flags/54.png,FC Schalke 04,€9M,€38K,1-Jul-16,2020,€15.3M
103,170890,B. Matuidi,31,https://cdn.sofifa.org/players/4/19/170890.png,France,https://cdn.sofifa.org/flags/18.png,Juventus,€26M,€145K,18-Aug-17,2020,€42.9M
104,168609,Miranda,33,https://cdn.sofifa.org/players/4/19/168609.png,Brazil,https://cdn.sofifa.org/flags/54.png,Inter,€15.5M,€96K,1-Jul-17,2020,€26.4M
105,165153,K. Benzema,30,https://cdn.sofifa.org/players/4/19/165153.png,France,https://cdn.sofifa.org/flags/18.png,Real Madrid,€37M,€240K,9-Jul-09,2021,€75.9M
106,164169,Filipe Luís,32,https://cdn.sofifa.org/players/4/19/164169.png,Brazil,https://cdn.sofifa.org/flags/54.png,Atlético Madrid,€21.5M,€81K,28-Jul-15,2019,€44.1M
107,139720,V. Kompany,32,https://cdn.sofifa.org/players/4/19/139720.png,Belgium,https://cdn.sofifa.org/flags/7.png,Manchester City,€22M,€170K,22-Aug-08,2019,€40.7M
108,120533,Pepe,35,https://cdn.sofifa.org/players/4/19/120533.png,Portugal,https://cdn.sofifa.org/flags/38.png,Beşiktaş JK,€9M,€57K,4-Jul-17,2019,€17.1M
109,41236,Z. Ibrahimović,36,https://cdn.sofifa.org/players/4/19/41236.png,Sweden,https://cdn.sofifa.org/flags/46.png,LA Galaxy,€14M,€15K,23-Mar-18,2022,€21M
110,220793,D. Sánchez,22,https://cdn.sofifa.org/players/4/19/220793.png,Colombia,https://cdn.sofifa.org/flags/56.png,Tottenham Hotspur,€34M,€105K,26-Aug-17,2024,€65.5M
111,216460,J. Giménez,23,https://cdn.sofifa.org/players/4/19/216460.png,Uruguay,https://cdn.sofifa.org/flags/60.png,Atlético Madrid,€34M,€63K,1-Jul-13,2023,€72.3M
112,212462,Alex Telles,25,https://cdn.sofifa.org/players/4/19/212462.png,Brazil,https://cdn.sofifa.org/flags/54.png,FC Porto,€32M,€22K,13-Jul-16,2021,€66.4M
113,212218,A. Laporte,24,https://cdn.sofifa.org/players/4/19/212218.png,France,https://cdn.sofifa.org/flags/18.png,Manchester City,€34M,€135K,30-Jan-18,2023,€65.5M
114,212198,Bruno Fernandes,23,https://cdn.sofifa.org/players/4/19/212198.png,Portugal,https://cdn.sofifa.org/flags/38.png,Sporting CP,€40.5M,€22K,1-Jul-17,2023,€84M
115,212190,N. Süle,22,https://cdn.sofifa.org/players/4/19/212190.png,Germany,https://cdn.sofifa.org/flags/21.png,FC Bayern München,€36.5M,€84K,1-Jul-17,2022,€67.5M
116,211300,A. Martial,22,https://cdn.sofifa.org/players/4/19/211300.png,France,https://cdn.sofifa.org/flags/18.png,Manchester United,€42.5M,€165K,1-Sep-15,2019,€87.1M
117,211117,D. Alli,22,https://cdn.sofifa.org/players/4/19/211117.png,England,https://cdn.sofifa.org/flags/14.png,Tottenham Hotspur,€42.5M,€115K,2-Feb-15,2024,€87.1M
118,209499,Fabinho,24,https://cdn.sofifa.org/players/4/19/209499.png,Brazil,https://cdn.sofifa.org/flags/54.png,Liverpool,€34M,€120K,1-Jul-18,2023,€67.2M
119,207865,Marquinhos,24,https://cdn.sofifa.org/players/4/19/207865.png,Brazil,https://cdn.sofifa.org/flags/54.png,Paris Saint-Germain,€35.5M,€90K,19-Jul-13,2022,€68.3M
120,207566,William Carvalho,26,https://cdn.sofifa.org/players/4/19/207566.png,Portugal,https://cdn.sofifa.org/flags/38.png,Real Betis,€31.5M,€38K,13-Jul-18,2023,€68.5M
121,205498,Jorginho,26,https://cdn.sofifa.org/players/4/19/205498.png,Italy,https://cdn.sofifa.org/flags/27.png,Chelsea,€38M,€155K,16-Jul-18,2023,€73.2M
122,204970,F. Thauvin,25,https://cdn.sofifa.org/players/4/19/204970.png,France,https://cdn.sofifa.org/flags/18.png,Olympique de Marseille,€39M,€72K,1-Jul-17,2021,€77M
123,204963,Carvajal,26,https://cdn.sofifa.org/players/4/19/204963.png,Spain,https://cdn.sofifa.org/flags/45.png,Real Madrid,€31.5M,€185K,5-Jul-13,2022,€66.9M
124,202556,M. Depay,24,https://cdn.sofifa.org/players/4/19/202556.png,Netherlands,https://cdn.sofifa.org/flags/34.png,Olympique Lyonnais,€42M,€93K,20-Jan-17,2021,€83M
125,200104,H. Son,25,https://cdn.sofifa.org/players/4/19/200104.png,Korea Republic,https://cdn.sofifa.org/flags/167.png,Tottenham Hotspur,€37M,€125K,28-Aug-15,2023,€71.2M
126,199482,A. Lopes,27,https://cdn.sofifa.org/players/4/19/199482.png,Portugal,https://cdn.sofifa.org/flags/38.png,Olympique Lyonnais,€25M,€72K,1-Jul-11,2020,€49.4M
127,198176,S. de Vrij,26,https://cdn.sofifa.org/players/4/19/198176.png,Netherlands,https://cdn.sofifa.org/flags/34.png,Inter,€31.5M,€88K,1-Jul-18,2023,€55.9M
128,198009,M. Perin,25,https://cdn.sofifa.org/players/4/19/198009.png,Italy,https://cdn.sofifa.org/flags/27.png,Juventus,€29.5M,€105K,1-Jul-18,2022,€50.9M
129,193082,J. Cuadrado,30,https://cdn.sofifa.org/players/4/19/193082.png,Colombia,https://cdn.sofifa.org/flags/56.png,Juventus,€29.5M,€150K,2-Feb-15,2020,€48.7M
130,192629,Iago Aspas,30,https://cdn.sofifa.org/players/4/19/192629.png,Spain,https://cdn.sofifa.org/flags/45.png,RC Celta,€30M,€45K,1-Jul-15,2022,€63M
131,192563,B. Leno,26,https://cdn.sofifa.org/players/4/19/192563.png,Germany,https://cdn.sofifa.org/flags/21.png,Arsenal,€27M,€115K,1-Jul-18,2023,€53.3M
132,191202,N. Matić,29,https://cdn.sofifa.org/players/4/19/191202.png,Serbia,https://cdn.sofifa.org/flags/51.png,Manchester United,€24M,€165K,31-Jul-17,2020,€44.4M
133,190941,L. Hrádecký,28,https://cdn.sofifa.org/players/4/19/190941.png,Finland,https://cdn.sofifa.org/flags/17.png,Bayer 04 Leverkusen,€22M,€74K,1-Jul-18,2023,€37.4M
134,190584,Illarramendi,28,https://cdn.sofifa.org/players/4/19/190584.png,Spain,https://cdn.sofifa.org/flags/45.png,Real Sociedad,€31M,€51K,26-Aug-15,2023,€65.1M
135,188377,K. Walker,28,https://cdn.sofifa.org/players/4/19/188377.png,England,https://cdn.sofifa.org/flags/14.png,Manchester City,€24.5M,€165K,14-Jul-17,2022,€45.3M
136,186942,I. Gündoğan,27,https://cdn.sofifa.org/players/4/19/186942.png,Germany,https://cdn.sofifa.org/flags/21.png,Manchester City,€32M,€175K,1-Jul-16,2020,€59.2M
137,185020,José Callejón,31,https://cdn.sofifa.org/players/4/19/185020.png,Spain,https://cdn.sofifa.org/flags/45.png,Napoli,€27.5M,€105K,11-Jul-13,2020,€46.8M
138,183898,A. Di María,30,https://cdn.sofifa.org/players/4/19/183898.png,Argentina,https://cdn.sofifa.org/flags/52.png,Paris Saint-Germain,€29.5M,€125K,6-Aug-15,2021,€54.6M
139,181783,M. Mandžukić,32,https://cdn.sofifa.org/players/4/19/181783.png,Croatia,https://cdn.sofifa.org/flags/10.png,Juventus,€25M,€160K,1-Jul-15,2020,€41.3M
140,180403,Willian,29,https://cdn.sofifa.org/players/4/19/180403.png,Brazil,https://cdn.sofifa.org/flags/54.png,Chelsea,€30.5M,€175K,28-Aug-13,2020,€56.4M
141,178750,Sergio Asenjo,29,https://cdn.sofifa.org/players/4/19/178750.png,Spain,https://cdn.sofifa.org/flags/45.png,Villarreal CF,€24M,€42K,30-Jun-14,2022,€52.2M
142,178562,E. Banega,30,https://cdn.sofifa.org/players/4/19/178562.png,Argentina,https://cdn.sofifa.org/flags/52.png,Sevilla FC,€29M,€31K,3-Jul-17,2020,€60.9M
143,177413,A. Witsel,29,https://cdn.sofifa.org/players/4/19/177413.png,Belgium,https://cdn.sofifa.org/flags/7.png,Borussia Dortmund,€24M,€77K,17-Aug-18,2022,€40.8M
144,177388,D. Payet,31,https://cdn.sofifa.org/players/4/19/177388.png,France,https://cdn.sofifa.org/flags/18.png,Olympique de Marseille,€27.5M,€75K,30-Jan-17,2021,€52.3M
